ra,dec,classe,g,i,r,u,z,subclasse,redshift
319.68478,-3.1309016,GALAXY,0.674836,4.89465,2.445964,0.261267,8.809124,AGN,0.401891
319.64083,-3.0848063,GALAXY,0.983466,7.719235,3.886311,0.047902,13.042645,STARFORMING,0.4771510000000001
319.42017000000004,-2.9160511000000002,GALAXY,22.632223,115.345718,65.853027,6.208067,179.604065,AGN,0.091911
156.89588,6.4060845,GALAXY,20.980352,65.83401500000001,45.616417,9.548385,83.52570300000002,STARFORMING,0.102202
156.94236,5.9920105,GALAXY,17.369478,38.948017,28.373955,7.286944,44.351101,STARFORMING,0.084578
157.09474,6.1723704,GALAXY,23.58041,82.854347,55.650177,7.156528999999999,107.90798999999998,STARFORMING,0.107753
156.91374,6.0062831,GALAXY,33.446136,50.559807,37.169102,25.81259,44.165558,STARBURST,0.117542
157.05523,6.0657528,GALAXY,26.25773,67.46051800000001,46.385628,13.435918,79.90918,STARFORMING,0.067973
156.44261,5.5054791,GALAXY,27.662262,91.319809,60.436653,11.461065,115.990189,STARFORMING,0.121805
156.41973000000002,5.6491415,GALAXY,34.710339000000005,79.764786,56.626122,16.543556,89.003029,STARBURST,0.101474
156.44356000000002,5.6519449999999996,GALAXY,18.857874,24.01495,22.421566,14.993168,26.062922,STARFORMING,0.003849672
156.41195,5.8672887000000005,GALAXY,16.878826,30.085344,25.314869,10.682993,32.525589000000004,STARFORMING,0.041572000000000005
332.2007,11.811971,GALAXY,29.495243,83.753387,55.939629,12.868976,100.902664,STARFORMING,0.068106
332.55971,12.3533,GALAXY,13.395243,50.247658,32.572472,5.048092,65.508842,AGN,0.128806
332.69513,12.556478,GALAXY,18.613726,81.202927,50.493656,6.998536,110.067513,AGN,0.1524
332.52868,12.359964999999999,GALAXY,14.88581,37.940617,26.441217,7.0112830000000015,45.087891,STARFORMING,0.103463
332.17796,12.378524,GALAXY,14.317327,44.845406,30.08456,6.888002,58.601624,STARFORMING,0.122302
332.41128,12.208817999999999,GALAXY,20.705791,63.785149,42.698055,8.312368,79.289879,STARFORMING,0.061587
332.4326,12.207651,GALAXY,28.4895,57.282257,41.671764,16.259520000000002,63.72197,STARBURST,0.06172
332.18925,12.146974,GALAXY,11.026176,40.941795,25.641903,4.477649,54.449409,STARFORMING,0.081139
332.36597,12.365274000000001,GALAXY,12.655041,40.312977,26.368427,5.628913,50.50095,STARFORMING,0.07269099999999999
331.95204,12.431058,GALAXY,7.236860000000001,28.317772,19.249813,3.390659,36.677399,STARFORMING,0.164838
331.87489,12.583003,GALAXY,41.716587,56.952923,50.53429000000001,38.074223,62.994987,STARBURST,0.031286
331.99888,12.373693,GALAXY,6.187958,12.004225,10.02568,2.991276,14.042948999999998,STARFORMING,0.081488
4.358663099999999,-0.81047601,GALAXY,2.753873,14.649817,8.728334,-0.040559,17.23,STARFORMING,0.170185
4.2851429,-1.204772,GALAXY,2.9338580000000003,8.84234,5.689954,1.343927,10.541911,STARBURST,0.155636
4.2061458,-1.1594870000000002,GALAXY,7.053738,31.53779,17.785814000000006,2.388294,39.539223,STARBURST,0.156004
4.310359,-1.0818321000000002,GALAXY,7.969136,19.48983,13.509398,4.387119,19.539421,STARBURST,0.153328
4.5021558,-1.058908,GALAXY,7.924295,46.413639,26.269608,2.863464,64.266762,BROADLINE,0.259831
4.856535,-0.73644799,GALAXY,6.067833,13.570734,9.873776,3.0875220000000003,13.751906,STARBURST,0.14086
4.442947900000001,-0.96484399,GALAXY,9.505253,27.547798,18.964903,4.866949,33.619781,STARFORMING,0.19004
4.4382758,-0.72808301,GALAXY,10.441161,24.511606,17.824064,4.53831,28.972187,STARFORMING,0.151847
4.9113059,-0.154727,GALAXY,12.958869,46.594204,29.873896,3.496868,62.104733,STARFORMING,0.07071000000000001
4.9142861,-0.17696001,GALAXY,7.171925999999999,22.654154,14.500936,2.529999,28.046640000000004,STARFORMING,0.152385
5.002584,-0.19279300000000002,GALAXY,12.834378,28.28183,21.152731,7.246602,32.241119,STARFORMING,0.151038
4.800828,-0.60349202,GALAXY,9.234608,28.352737,18.404436,3.394875,36.85807,STARFORMING,0.169458
4.89464,-0.261585,GALAXY,7.709086,22.312941,14.832824,4.320339,27.592922,STARFORMING,0.112403
4.1554041,-1.009231,GALAXY,9.078759,30.614782,19.951147,5.088356,38.845787,STARFORMING,0.194164
3.9586178999999997,-1.0722040000000002,GALAXY,11.980319,46.685822,30.677078,3.651676,61.100796,STARFORMING,0.15243900000000002
4.189887000000001,-1.0978012,GALAXY,5.894124,24.614346,15.47223,3.4378550000000003,32.3969,STARFORMING,0.197702
3.966593,-0.96119899,GALAXY,7.369896000000002,14.175666,11.094122,2.834909,15.576663,STARFORMING,0.08591499999999999
4.0931888,-0.74543297,GALAXY,9.686138,28.06411,19.699396,2.877019,35.057774,STARFORMING,0.111874
4.019715799999999,-1.0103540000000002,GALAXY,7.778346000000001,31.226576,20.216778,1.6674810000000002,43.034271,STARFORMING,0.091087
4.3132138,-0.53899801,GALAXY,7.359997,16.310562,12.517713,3.834585,19.125166,STARFORMING,0.152919
4.311443799999999,-0.68181902,GALAXY,8.672502,23.421375,16.523424,3.798373,28.592159,STARFORMING,0.140297
4.585856,-0.67100698,GALAXY,4.375228,12.078551,8.509586,1.435581,15.537459,STARBURST,0.181722
204.47406999999998,40.235775,GALAXY,3.854161,12.136004,8.737707,3.020941,17.193464000000002,STARBURST,0.401779
204.55963,39.075724,GALAXY,3.714007,21.388577,12.435386,1.60384,32.838757,AGN,0.28802
202.3881,40.607378000000004,GALAXY,0.928825,5.6379800000000015,3.169695,0.641946,9.215479,STARFORMING,0.499896
202.5212,39.854760999999996,GALAXY,1.743469,10.002466,5.12444,1.1277780000000002,16.569307000000002,STARFORMING,0.341937
202.55297,39.86894,GALAXY,41.164467,181.378922,113.780418,8.264421,255.169708,STARFORMING,0.048569
331.9841,12.573279,GALAXY,14.809520999999998,50.293247,32.534958,6.721878,64.423874,STARBURST,0.138242
331.86491,12.611048,GALAXY,16.841757,72.082451,45.521534,4.948332,99.629768,STARFORMING,0.118021
331.79034,11.524078,GALAXY,11.570786,40.01321,26.514261,5.620662,50.014973,STARBURST,0.233914
331.66637000000003,11.629771,GALAXY,42.168686,125.429039,86.068726,16.360304,158.818848,STARFORMING,0.065765
331.81474,11.956218,GALAXY,10.464716,43.15926,28.427328000000006,3.935741,59.369682,STARFORMING,0.120619
331.79644,12.426644,GALAXY,8.819208999999997,21.259726,15.159064,3.783586,24.702316,STARFORMING,0.078864
331.77236,12.314614,GALAXY,28.674826,106.114594,65.777733,10.713869,140.911057,STARFORMING,0.079084
331.68421,12.361015,GALAXY,24.786907,74.947746,50.13375900000001,10.211862,93.759186,STARFORMING,0.121904
331.6025,11.671886,GALAXY,13.827643,32.804367,24.669159,5.224069999999998,38.605118,STARFORMING,0.048987
331.63381,11.843482,GALAXY,15.893315,70.775696,40.914551,5.613626,94.74144,STARFORMING,0.14618599999999998
331.566,11.802475999999999,GALAXY,68.718346,227.943573,152.508072,21.289265,290.617584,STARFORMING,0.078337
172.68497,0.81773544,GALAXY,20.339073000000006,45.585236,34.103367,7.871127,51.960602,STARFORMING,0.073264
172.80235,0.40174055,GALAXY,9.240341,28.640812,20.029964,3.21418,35.523033,STARFORMING,0.13078199999999998
172.98549,0.40349991,GALAXY,49.744511,140.645172,89.830513,25.653006,161.039444,STARBURST,0.118247
172.62015,0.80161584,GALAXY,11.197757,31.745483,22.17411,3.485185,40.026321,STARFORMING,0.067337
172.86439,0.38447773,GALAXY,18.215099,69.76808199999999,46.447781,5.249509,89.612289,STARFORMING,0.1289
172.8731,0.73869932,GALAXY,19.336044,56.609871,39.058163,7.007555,68.471329,STARFORMING,0.074847
172.91513999999998,0.21503775,GALAXY,21.536854,82.512924,55.073963,6.503158,106.22963,STARFORMING,0.132356
172.84153,1.1798068000000002,GALAXY,20.183725,75.10039499999998,49.569382,7.0442,97.808815,STARFORMING,0.13195
173.19193,0.76206015,GALAXY,161.692123,438.064331,328.368042,38.044758,513.663513,BROADLINE,0.068018
172.83902,1.2053551000000002,GALAXY,19.459688,61.75182,42.435738,7.987174,74.817879,STARFORMING,0.12583
173.05608999999998,0.81927396,GALAXY,94.378723,313.399963,215.647827,27.495604,396.280701,STARFORMING,0.019539
172.95252,0.86325195,GALAXY,28.281387,102.482475,64.341148,12.230962,144.59491,STARFORMING,0.025363
173.09131000000002,0.80232231,GALAXY,69.67572,134.899979,113.438545,43.790401,159.542603,STARBURST,0.019757
172.94677,0.9323942,GALAXY,41.47393,139.298706,91.281059,12.435476,172.476654,STARFORMING,0.10416
