ra,dec,classe,B-V,FeH,LogG,TEff,g,i,r,u,z,subclasse,redshift,Espectro_Tipo
319.89142999999996,-2.6316644,STAR,0.18,-2.09,2.497,6537.0,1.874528,5.158816000000002,4.1248879999999986,0.795603,5.396394,K3V (32147),-0.0007680557,K
319.93172999999996,-2.5132799,STAR,0.18,-2.09,2.497,6537.0,52.229191,240.609756,163.88453700000005,5.126666,287.497894,K5Ve (118100),-3.568516e-05,K
319.69723,-2.8758513999999997,STAR,0.429,-0.41,4.11,6180.0,0.7105640000000001,8.083809,2.9861720000000003,0.168455,14.090108,M5III (221615),-0.000227379,M
319.67267999999996,-2.8932043,STAR,0.647,-2.32,1.32,4949.0,2.813756,37.540585,9.894195,0.7411449999999999,83.79600500000002,M5III (221615),-9.116632e-05,M
319.65156,-3.2408675,STAR,0.647,-2.32,1.32,4949.0,0.664964,5.622318,2.512684,0.421322,9.896644,M1 (204445),3.417996e-05,M
319.76113,-3.173143,STAR,0.18,-2.09,2.497,6537.0,9.857904,15.021548,13.663328,5.423739,15.783691,G4V (32923),-0.0001314248,G
335.9452,38.358971999999994,STAR,0.6779999999999999,-0.06,3.85,5466.0,150.128311,348.013641,282.0668950000001,55.729134,384.212158,F9,-0.0001830206,F
335.93845,38.515901,STAR,0.446,-1.05,4.41,5895.0,1576.67029,2812.08252,2432.98779,889.6154789999998,3013.21436,F5,-0.0001776912,F
336.05859,38.561516,STAR,0.983,-0.39,4.414,4576.0,127.956497,443.972687,321.285217,22.437651,528.951233,K5,-0.0001230839,K
336.09553999999997,38.292571,STAR,0.767,0.36,4.6,5232.0,214.841446,486.556671,401.205475,59.936596,531.66095,K1,-5.723898e-05,K
336.53412000000003,38.932755,STAR,1.5019999999999998,-0.2,4.89,3717.0,76.433701,395.86319,185.76413,21.324389,633.3690799999998,M3,-3.053387e-05,M
336.52822000000003,38.73192,STAR,0.825,-0.05,4.809,5190.0,51.776081,139.73138400000002,109.256332,10.925332,156.287933,K3,-0.0001242973,K
336.64821,39.26,STAR,0.298,-0.15,4.045,7118.0,474.8297730000001,627.98584,596.5673830000002,326.818542,632.602112,A0,-6.106795999999999e-05,A
336.72201,39.169434,STAR,0.105,-0.08,3.769,7354.0,330.805603,314.802887,337.024445,241.305801,299.290375,A0,-0.0003002241,A
336.49418,39.078325,STAR,0.568,-0.42,4.17,5748.0,688.188049,1303.09216,1115.34473,303.103607,1389.94885,F9,-0.0001636356,F
336.46909,39.03848,STAR,0.8029999999999999,-0.32,2.7,5164.0,33.096897,94.454605,70.714478,8.86548,109.111023,K3,-4.6917e-05,K
336.68564,38.722131,STAR,0.511,-0.3,4.284,5925.0,64.346245,103.847763,92.32402,37.860592,106.92067,F2,-6.923855e-05,F
336.68609,39.020593,STAR,0.0,-2.5,4.0,9500.0,594.638367,280.018616,383.103149,831.96167,217.788727,B9,3.010042e-05,B
