car_make,car_model,car_model_year,car_vin
Audi,100,1991,WBADT43401G031947
Suzuki,Reno,2008,JH4NA21614T659225
Chevrolet,S10 Blazer,1992,1D4PT2GK0BW560757
Volkswagen,New Beetle,2012,1GYS3CEF2ER110236
Mitsubishi,Excel,1987,4F2CY0C77BK052988
GMC,Suburban 1500,1994,1GKS1FEJ0CR014690
Mitsubishi,Galant,1996,19UUA9F71EA072982
Subaru,Legacy,1995,KMHHT6KD1CU092113
Ford,Escort,2004,1G6DB1ED2B0311853
Hyundai,Santa Fe,2010,WBABS33483P740827
Ford,Mustang,1987,JHMFA3F26AS824462
Mercedes-Benz,W201,1985,WBANW5C59AC894232
Pontiac,Grand Am,1992,1FMJK1H5XDE873759
Hyundai,Azera,2006,5FNRL5H2XDB040482
Mitsubishi,Raider,2007,WDCGG5GB3BF765454
Chevrolet,Silverado 3500,2007,WAUDF98E66A250041
Volvo,V40,2000,2T1BURHE1FC455925
Daewoo,Lanos,2000,WBSVA935X8E058641
Maserati,Quattroporte,1984,YV126MFJXF1533419
Lamborghini,Murciélago,2005,ZFBCFABH3EZ165132
GMC,Yukon Denali,2006,5UXFA13524L129462
Lincoln,Town Car,1991,JTHBK1GG0D1237582
Subaru,Legacy,2006,3G5DB03E43S217638
Ford,Taurus,2011,JN1BJ0HP9EM942834
Chevrolet,Lumina,1994,2C3CA5CV5AH492539
Ford,Explorer,1992,WBAGL83514D744147
Pontiac,Grand Prix,1977,1LNHL9FTXFG642382
Chevrolet,Suburban 2500,1995,WBASN4C56BC389315
Chevrolet,Monte Carlo,2000,WAUDFAFC1EN778371
Dodge,Grand Caravan,1996,1YVHZ8BH5C5624422
Honda,Civic,1985,JN8AE2KP6F9876866
Mazda,Millenia,1996,WDDGF4HB4DA263625
Volkswagen,Golf III,1994,3D73Y3CL1AG557497
Pontiac,Firebird,1998,YV4952CF7D1221595
GMC,Safari,1993,WAUDG58E45A673396
Buick,Riviera,1993,1G6AS5S37F0627910
Ford,Focus,2006,4JGDF2EE9DA421095
Oldsmobile,Cutlass Supreme,1994,WBSKG9C52DJ317528
Chevrolet,Lumina APV,1993,WBALL5C5XFP627584
Mitsubishi,Cordia,1988,5J6TF2H50DL948811
Ford,Tempo,1985,WAUCFAFR9BA705445
Chevrolet,Suburban,2006,3VW467AT3DM937393
Honda,Civic,1991,JN1AJ0HP1CM350174
Mercury,Cougar,1986,5GAKRBED7BJ460177
Lexus,ES,2001,3D73M3CL5BG945118
Ford,Fairlane,1966,SCBLE47K19C905746
Dodge,Ram 2500,2009,WBAEB53579C177657
Chevrolet,TrailBlazer,2002,WA1BV74L78D567943
Austin,Mini,1963,JN1CV6EK3CM493135
BMW,8 Series,1992,5N1AT2ML8FC767173
Dodge,Stealth,1996,1G6DH8EG9A0565513
Porsche,924 S,1987,4T1BF1FK7CU414357
Toyota,Solara,2004,3D7TT2HT6BG233934
Mercedes-Benz,C-Class,1998,1N6AF0KY4FN299541
Ford,Transit Connect,2010,WA1VMBFE7ED059145
Dodge,Stratus,2003,WDDGF5EB1AA849365
Rolls-Royce,Phantom,2006,KMHTC6AD2FU471184
Suzuki,SJ,1988,WDDHF2EB1CA600313
Buick,Park Avenue,2003,WAUHF78P38A326812
Nissan,200SX,1997,1FTSW3B57AE098303
Infiniti,QX,2001,5UXZV8C5XD0702992
Toyota,Venza,2012,WA1AY94L08D085443
BMW,7 Series,2003,1D7RE5GK5BS033473
Pontiac,Montana SV6,2005,JN1CV6EKXBM270217
Mazda,MPV,1994,SCBBR93WX7C479123
Toyota,MR2,2000,WBASN0C56DD503075
Chrysler,Town & Country,1997,1G6DH5E52D0249579
Lexus,LS,2007,1G6YX36D075693694
Toyota,Sienna,2000,WBADX7C58DE050356
Mitsubishi,Galant,1991,WAUSFAFL8BA792097
Chevrolet,Corvette,1969,1N6AA0CH5FN335895
BMW,M3,2006,1G6AJ5S3XD0495077
BMW,M5,1992,SCFHDDAT4EG201469
Oldsmobile,Silhouette,2002,1GYS4FEJ7DR417578
Chevrolet,Express 3500,2011,1N6AF0LX3FN988962
Pontiac,GTO,1973,5FPYK1F29AB730074
BMW,5 Series,2012,SCFEFBBC1AG750217
Audi,90,1988,WDDEJ7EB2EA696910
Audi,4000s,1985,WBADT53412C467124
Oldsmobile,88,1998,1G4HD57237U590513
Jeep,Wrangler,2002,WP0AA2A81BU689365
GMC,Savana 1500,2003,1FTSW2B56AE920549
Dodge,Intrepid,1996,WAUWFAFH1CN930229
Toyota,TundraMax,2007,JM1NC2PF0E0095699
Chrysler,Concorde,2001,19UUA76648A360334
Chevrolet,Monte Carlo,1997,WA1DKBFPXBA852035
Mazda,626,1998,5J6TF2H58EL186149
GMC,Vandura 2500,1993,WAUXL68E45A249604
Nissan,JUKE,2011,19UYA41633A445990
Cadillac,XLR,2009,3N1AB6AP6CL448329
Infiniti,G25,2011,WBASP2C50BC892532
Ford,Tempo,1987,2HNYB1H4XCH277419
Maserati,GranSport,2005,JH4KC1F9XFC165152
Mitsubishi,Eclipse,1993,JTHKD5BH9B2065433
Ford,Crown Victoria,2007,YV4902DZ2D2884719
Maserati,Biturbo,1984,5UXFA13575L725698
GMC,Yukon,2004,1C3CCBAB1DN851110
Dodge,Ram,2008,WAUAF78E55A555228
Ford,Ranger,1990,WAUBF98E48A393225
Jaguar,XK Series,2003,4T1BF3EK1AU821486
Honda,Odyssey,2007,WBAVD53587A133122
Dodge,Viper RT/10,1993,2G4GN5EC5B9887101
Mazda,Miata MX-5,2007,1GYUCBEF0AR906030
Mazda,MX-5,1999,WBANN73577C078370
Mercedes-Benz,S-Class,1990,19XFA1E33AE461041
Dodge,Dakota,1992,WAUGL78E07A425590
Aston Martin,V8 Vantage S,2011,19UUA75587A274922
Ford,F450,2011,1FTMF1EW7AK641006
Ford,LTD,1984,3VWKZ7AJ7BM681480
Ford,Taurus,2008,4USBU53577L495513
Ford,E-Series,2011,5GAKRBED8CJ480021
Ford,Fusion,2009,WAULC58E22A511060
Toyota,Camry Hybrid,2012,1G6YV36A095815114
Chevrolet,Cavalier,1994,2V4RW3DG2BR613069
GMC,Yukon XL 2500,2003,2C3CCAEG7EH968765
Chevrolet,Silverado 2500,2009,3D73Y3HL8BG765063
Dodge,Dakota,1995,1FMJU1H54AE188999
BMW,6 Series,2007,WBAET374X4N593525
Jaguar,XJ Series,2004,3VW4T7AT3EM235892
Pontiac,Firefly,1985,WAUFMAFC3FN597904
Mitsubishi,Outlander,2003,KMHHT6KD9DU428852
Infiniti,G,1996,WBAEN33412P020871
Maserati,GranTurismo,2009,JTDKDTB39C1539012
Honda,CR-V,2010,1D7RE3GK7BS260345
GMC,Sierra 2500,2006,1GD01ZCG3CF167413
Plymouth,Grand Voyager,1992,SCFAB01A36G737670
BMW,X6 M,2010,SCFKDCEP8EG221348
Daewoo,Nubira,1999,3VW517AT4FM030819
Volkswagen,Routan,2009,1GD312CG2EF952769
